FirstName,LastName,SamAccountName,UserPrincipalName,Password,OU
Liam,Porter,lporter,lporter@adatum.com",P@ssw0rd!,"OU=Marketing,DC=adatum,DC=com"
Ava,Sinclair,asinclair,asinclair@adatum.com",P@ssw0rd!,"OU=Research,DC=adatum,DC=com"
Noah,Jennings,njennings,njennings@adatum.com",P@ssw0rd!,"OU=IT,DC=adatum,DC=com"
Emma,Carver,ecarver,ecarver@adatum.com",P@ssw0rd!,"OU=Sales,DC=adatum,DC=com"
Oliver,Hayden,ohayden,ohayden@adatum.com",P@ssw0rd!,"OU=Managers,DC=adatum,DC=com"
Sophia,Reeves,sreeves,sreeves@adatum.com",P@ssw0rd!,"OU=Marketing,DC=adatum,DC=com"
Elijah,Turner,eturner,eturner@adatum.com",P@ssw0rd!,"OU=Research,DC=adatum,DC=com"
Isabella,Knox,iknox,iknox@adatum.com",P@ssw0rd!,"OU=IT,DC=adatum,DC=com"
James,Whitfield,jwhitfield,jwhitfield@adatum.com",P@ssw0rd!,"OU=Sales,DC=adatum,DC=com"
Mia,Chandler,mchandler,mchandler@adatum.com",P@ssw0rd!,"OU=Managers,DC=adatum,DC=com"
Lucas,Barrett,lbarrett,lbarrett@adatum.com",P@ssw0rd!,"OU=Marketing,DC=adatum,DC=com"
Charlotte,Finley,cfinley,cfinley@adatum.com",P@ssw0rd!,"OU=Research,DC=adatum,DC=com"
Mason,Lowery,mlowery,mlowery@adatum.com",P@ssw0rd!,"OU=IT,DC=adatum,DC=com"
Amelia,Forbes,aforbes,aforbes@adatum.com",P@ssw0rd!,"OU=Sales,DC=adatum,DC=com"
Logan,Shepherd,lshepherd,lshepherd@adatum.com",P@ssw0rd!,"OU=Managers,DC=adatum,DC=com"
Harper,Joyce,hjoyce,hjoyce@adatum.com",P@ssw0rd!,"OU=Marketing,DC=adatum,DC=com"
Ethan,Maxwell,emaxwell,emaxwell@adatum.com",P@ssw0rd!,"OU=Research,DC=adatum,DC=com"
Evelyn,Delaney,edelaney,edelaney@adatum.com",P@ssw0rd!,"OU=IT,DC=adatum,DC=com"
Alexander,Rowe,arowe,arowe@adatum.com",P@ssw0rd!,"OU=Sales,DC=adatum,DC=com"
Abigail,Hanley,ahanley,ahanley@adatum.com",P@ssw0rd!,"OU=Managers,DC=adatum,DC=com"
